#Table 1
#Velocity Observations of unknown binary system
#
#HJD-2450000	#v_p	     #v_s	#Phase	
#              #km s^-1)  #(km s^-1)	#
2736.81000	132.56	    20.83	-0.3163	
2737.79423	133.76	   18.75	-0.1950	
2739.75576	59.89	   95.50	0.0468	
2867.49150	136.52	   18.98	-0.2053	
3066.84849	36.52	  124.14	0.3724	
3068.87513	120.20	   35.70	-0.3778	
3176.56691	113.41	   41.07	-0.1010	
3178.66358	29.01	  131.01	0.1575	
3179.53692	19.63	  141.32	0.2651	
3179.58097	19.89	  140.94	0.2706	
3180.56655	41.30	  117.88	0.3921	
3183.53414	138.30	   16.66	-0.2421	
3183.57940	138.06	   16.72	-0.2365	
3206.63502	115.50	   40.27	-0.3941	
3516.81108	128.63	   28.23	-0.1541	
3520.65104	24.98	  135.92	0.3193	
3584.61769	22.07	  139.50	0.2054	
3816.84529	129.94	   25.27	-0.1645	
3875.82534	41.97	  118.00	0.1069	
3876.68298	20.77	  139.29	0.2126	
3877.69367	27.88	  132.30	0.3372	

